fired,id,year,tm,exp,tenure,poc,prior_hc_stops,prior_hc_seasons,prior_win_pct,prior_w_plyf,prior_sb_wins,prior_sb_apps,prior_coy_share,career_sb_wins,career_sb_apps,years_since_last_hc,prehire_win_pct_1,prehire_round_1,prehire_win_pct_2,prehire_round_2,prehire_win_pct_3,prehire_round_3,age_t0,playoff_round_t0,win_pct_t0,w_plyf_t0,coy_share_t0,coy_rank_t0,tenure_idx_t0,age_t1,playoff_round_t1,win_pct_t1,w_plyf_t1,coy_share_t1,coy_rank_t1,tenure_idx_t1,age_t2,playoff_round_t2,win_pct_t2,w_plyf_t2,coy_share_t2,coy_rank_t2,tenure_idx_t2,age_t3,playoff_round_t3,win_pct_t3,w_plyf_t3,coy_share_t3,coy_rank_t3,tenure_idx_t3,age_t4,playoff_round_t4,win_pct_t4,w_plyf_t4,coy_share_t4,coy_rank_t4,tenure_idx_t4
0,AlleGe0,1974,WAS,5,4,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,56.0,2,0.7142857142857143,0.0,0.0,,4,55.0,2.0,0.7142857142857143,0.0,0.0,,3.0,54.0,4.0,0.7857142857142857,2.0,0.066,5.0,2.0,53.0,2.0,0.6923076923076923,0.0,0.44,1.0,1.0,,,,,,,
0,AlleGe0,1975,WAS,6,5,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,57.0,0,0.5714285714285714,0.0,0.0,,5,56.0,2.0,0.7142857142857143,0.0,0.0,,4.0,55.0,2.0,0.7142857142857143,0.0,0.0,,3.0,54.0,4.0,0.7857142857142857,2.0,0.066,5.0,2.0,53.0,2.0,0.6923076923076923,0.0,0.44,1.0,1.0
0,AlleGe0,1976,WAS,7,6,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,58.0,2,0.7142857142857143,0.0,0.143,3.0,6,57.0,0.0,0.5714285714285714,0.0,0.0,,5.0,56.0,2.0,0.7142857142857143,0.0,0.0,,4.0,55.0,2.0,0.7142857142857143,0.0,0.0,,3.0,54.0,4.0,0.7857142857142857,2.0,0.066,5.0,2.0
1,AlleGe0,1977,WAS,8,7,0,1,1,0.6923076923076923,0.0,0,0,0.0,0,1,0.0,0.429,0.0,,,,,59.0,0,0.6428571428571429,0.0,0.0,,7,58.0,2.0,0.7142857142857143,0.0,0.143,3.0,6.0,57.0,0.0,0.5714285714285714,0.0,0.0,,5.0,56.0,2.0,0.7142857142857143,0.0,0.0,,4.0,55.0,2.0,0.7142857142857143,0.0,0.0,,3.0
0,AriaBr0,2013,ARI,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.313,0.0,0.5,0.0,0.313,0.0,61.0,0,0.625,0.0,0.04,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AriaBr0,2014,ARI,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.313,0.0,0.5,0.0,0.313,0.0,62.0,1,0.6875,0.0,0.79,1.0,2,61.0,0.0,0.625,0.0,0.04,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,AriaBr0,2015,ARI,3,3,0,0,0,,0.0,0,0,0.0,0,0,,0.313,0.0,0.5,0.0,0.313,0.0,63.0,3,0.8125,1.0,0.02,6.0,3,62.0,1.0,0.6875,0.0,0.79,1.0,2.0,61.0,0.0,0.625,0.0,0.04,5.0,1.0,,,,,,,,,,,,,,
0,AriaBr0,2016,ARI,4,4,0,0,0,,0.0,0,0,0.0,0,0,,0.313,0.0,0.5,0.0,0.313,0.0,64.0,0,0.4666666666666667,0.0,0.0,,4,63.0,3.0,0.8125,1.0,0.02,6.0,3.0,62.0,1.0,0.6875,0.0,0.79,1.0,2.0,61.0,0.0,0.625,0.0,0.04,5.0,1.0,,,,,,,
0,AriaBr0,2017,ARI,5,5,0,0,0,,0.0,0,0,0.0,0,0,,0.313,0.0,0.5,0.0,0.313,0.0,65.0,0,0.5,0.0,0.0,,5,64.0,0.0,0.4666666666666667,0.0,0.0,,4.0,63.0,3.0,0.8125,1.0,0.02,6.0,3.0,62.0,1.0,0.6875,0.0,0.79,1.0,2.0,61.0,0.0,0.625,0.0,0.04,5.0,1.0
0,AriaBr0,2019,TAM,6,1,0,1,5,0.620253164556962,1.0,0,0,0.8500000000000001,0,0,1.0,0.313,0.0,0.313,0.0,0.563,0.0,67.0,0,0.4375,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AriaBr0,2020,TAM,7,2,0,1,5,0.620253164556962,1.0,0,0,0.8500000000000001,1,1,1.0,0.313,0.0,0.313,0.0,0.563,0.0,68.0,5,0.6875,4.0,0.0,,2,67.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,AriaBr0,2021,TAM,8,3,0,1,5,0.620253164556962,1.0,0,0,0.8500000000000001,1,1,1.0,0.313,0.0,0.313,0.0,0.563,0.0,69.0,2,0.7647058823529411,1.0,0.0,,3,68.0,5.0,0.6875,4.0,0.0,,2.0,67.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,,,,,,,,
0,ArmsNe0,1978,CHI,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.643,2.0,0.5,0.0,0.286,0.0,52.0,0,0.4375,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ArmsNe0,1979,CHI,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.643,2.0,0.5,0.0,0.286,0.0,53.0,1,0.625,0.0,0.0,,2,52.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,ArmsNe0,1980,CHI,3,3,0,0,0,,0.0,0,0,0.0,0,0,,0.643,2.0,0.5,0.0,0.286,0.0,54.0,0,0.4375,0.0,0.0,,3,53.0,1.0,0.625,0.0,0.0,,2.0,52.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,,,,,,,,
1,ArmsNe0,1981,CHI,4,4,0,0,0,,0.0,0,0,0.0,0,0,,0.643,2.0,0.5,0.0,0.286,0.0,55.0,0,0.375,0.0,0.0,,4,54.0,0.0,0.4375,0.0,0.0,,3.0,53.0,1.0,0.625,0.0,0.0,,2.0,52.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,
0,ArnsBi0,1974,NYG,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.179,0.0,0.571,0.0,0.286,0.0,48.0,0,0.14285714285714285,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ArnsBi0,1975,NYG,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.179,0.0,0.571,0.0,0.286,0.0,49.0,0,0.35714285714285715,0.0,0.0,,2,48.0,0.0,0.14285714285714285,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1,AustBi0,1970,WAS,1,1,0,0,0,,0.0,0,0,0.0,0,0,,,,,,,,42.0,0,0.42857142857142855,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BeliBi0,1991,CLE,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.188,0.0,0.594,3.0,0.625,1.0,39.0,0,0.375,0.0,0.018,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BeliBi0,1992,CLE,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.188,0.0,0.594,3.0,0.625,1.0,40.0,0,0.4375,0.0,0.0,,2,39.0,0.0,0.375,0.0,0.018,10.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,BeliBi0,1993,CLE,3,3,0,0,0,,0.0,0,0,0.0,0,0,,0.188,0.0,0.594,3.0,0.625,1.0,41.0,0,0.4375,0.0,0.0,,3,40.0,0.0,0.4375,0.0,0.0,,2.0,39.0,0.0,0.375,0.0,0.018,10.0,1.0,,,,,,,,,,,,,,
0,BeliBi0,1994,CLE,4,4,0,0,0,,0.0,0,0,0.0,0,0,,0.188,0.0,0.594,3.0,0.625,1.0,42.0,2,0.6875,1.0,0.041,5.0,4,41.0,0.0,0.4375,0.0,0.0,,3.0,40.0,0.0,0.4375,0.0,0.0,,2.0,39.0,0.0,0.375,0.0,0.018,10.0,1.0,,,,,,,
1,BeliBi0,1995,CLE,5,5,0,0,0,,0.0,0,0,0.0,0,0,,0.188,0.0,0.594,3.0,0.625,1.0,43.0,0,0.3125,0.0,0.0,,5,42.0,2.0,0.6875,1.0,0.041,5.0,4.0,41.0,0.0,0.4375,0.0,0.0,,3.0,40.0,0.0,0.4375,0.0,0.0,,2.0,39.0,0.0,0.375,0.0,0.018,10.0,1.0
0,BeliBi0,2000,NWE,6,1,0,1,5,0.45,1.0,0,0,0.059,0,0,4.0,0.5,0.0,0.563,1.0,0.625,2.0,48.0,0,0.3125,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BeliBi0,2001,NWE,7,2,0,1,5,0.45,1.0,0,0,0.059,1,1,4.0,0.5,0.0,0.563,1.0,0.625,2.0,49.0,5,0.6875,3.0,0.39,2.0,2,48.0,0.0,0.3125,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,BeliBi0,2002,NWE,8,3,0,1,5,0.45,1.0,0,0,0.059,1,1,4.0,0.5,0.0,0.563,1.0,0.625,2.0,50.0,0,0.5625,0.0,0.0,,3,49.0,5.0,0.6875,3.0,0.39,2.0,2.0,48.0,0.0,0.3125,0.0,0.0,,1.0,,,,,,,,,,,,,,
0,BeliBi0,2003,NWE,9,4,0,1,5,0.45,1.0,0,0,0.059,2,2,4.0,0.5,0.0,0.563,1.0,0.625,2.0,51.0,5,0.875,3.0,0.71,1.0,4,50.0,0.0,0.5625,0.0,0.0,,3.0,49.0,5.0,0.6875,3.0,0.39,2.0,2.0,48.0,0.0,0.3125,0.0,0.0,,1.0,,,,,,,
0,BeliBi0,2004,NWE,10,5,0,1,5,0.45,1.0,0,0,0.059,3,3,4.0,0.5,0.0,0.563,1.0,0.625,2.0,52.0,5,0.875,3.0,0.063,3.0,5,51.0,5.0,0.875,3.0,0.71,1.0,4.0,50.0,0.0,0.5625,0.0,0.0,,3.0,49.0,5.0,0.6875,3.0,0.39,2.0,2.0,48.0,0.0,0.3125,0.0,0.0,,1.0
0,BeliBi0,2005,NWE,11,6,0,1,5,0.45,1.0,0,0,0.059,3,3,4.0,0.5,0.0,0.563,1.0,0.625,2.0,53.0,2,0.625,1.0,0.04,3.0,6,52.0,5.0,0.875,3.0,0.063,3.0,5.0,51.0,5.0,0.875,3.0,0.71,1.0,4.0,50.0,0.0,0.5625,0.0,0.0,,3.0,49.0,5.0,0.6875,3.0,0.39,2.0,2.0
0,BeliBi0,2006,NWE,12,7,0,1,5,0.45,1.0,0,0,0.059,3,3,4.0,0.5,0.0,0.563,1.0,0.625,2.0,54.0,3,0.75,2.0,0.0,,7,53.0,2.0,0.625,1.0,0.04,3.0,6.0,52.0,5.0,0.875,3.0,0.063,3.0,5.0,51.0,5.0,0.875,3.0,0.71,1.0,4.0,50.0,0.0,0.5625,0.0,0.0,,3.0
0,BeliBi0,2007,NWE,13,8,0,1,5,0.45,1.0,0,0,0.059,3,4,4.0,0.5,0.0,0.563,1.0,0.625,2.0,55.0,4,1.0,2.0,0.58,1.0,8,54.0,3.0,0.75,2.0,0.0,,7.0,53.0,2.0,0.625,1.0,0.04,3.0,6.0,52.0,5.0,0.875,3.0,0.063,3.0,5.0,51.0,5.0,0.875,3.0,0.71,1.0,4.0
0,BeliBi0,2008,NWE,14,9,0,1,5,0.45,1.0,0,0,0.059,3,4,4.0,0.5,0.0,0.563,1.0,0.625,2.0,56.0,0,0.6875,0.0,0.02,4.0,9,55.0,4.0,1.0,2.0,0.58,1.0,8.0,54.0,3.0,0.75,2.0,0.0,,7.0,53.0,2.0,0.625,1.0,0.04,3.0,6.0,52.0,5.0,0.875,3.0,0.063,3.0,5.0
0,BeliBi0,2009,NWE,15,10,0,1,5,0.45,1.0,0,0,0.059,3,4,4.0,0.5,0.0,0.563,1.0,0.625,2.0,57.0,1,0.625,0.0,0.0,,10,56.0,0.0,0.6875,0.0,0.02,4.0,9.0,55.0,4.0,1.0,2.0,0.58,1.0,8.0,54.0,3.0,0.75,2.0,0.0,,7.0,53.0,2.0,0.625,1.0,0.04,3.0,6.0
0,BeliBi0,2010,NWE,16,11,0,1,5,0.45,1.0,0,0,0.059,3,4,4.0,0.5,0.0,0.563,1.0,0.625,2.0,58.0,2,0.875,0.0,0.6,1.0,11,57.0,1.0,0.625,0.0,0.0,,10.0,56.0,0.0,0.6875,0.0,0.02,4.0,9.0,55.0,4.0,1.0,2.0,0.58,1.0,8.0,54.0,3.0,0.75,2.0,0.0,,7.0
0,BeliBi0,2011,NWE,17,12,0,1,5,0.45,1.0,0,0,0.059,3,5,4.0,0.5,0.0,0.563,1.0,0.625,2.0,59.0,4,0.8125,2.0,0.0,,12,58.0,2.0,0.875,0.0,0.6,1.0,11.0,57.0,1.0,0.625,0.0,0.0,,10.0,56.0,0.0,0.6875,0.0,0.02,4.0,9.0,55.0,4.0,1.0,2.0,0.58,1.0,8.0
0,BeliBi0,2012,NWE,18,13,0,1,5,0.45,1.0,0,0,0.059,3,5,4.0,0.5,0.0,0.563,1.0,0.625,2.0,60.0,3,0.75,1.0,0.0,,13,59.0,4.0,0.8125,2.0,0.0,,12.0,58.0,2.0,0.875,0.0,0.6,1.0,11.0,57.0,1.0,0.625,0.0,0.0,,10.0,56.0,0.0,0.6875,0.0,0.02,4.0,9.0
0,BeliBi0,2013,NWE,19,14,0,1,5,0.45,1.0,0,0,0.059,3,5,4.0,0.5,0.0,0.563,1.0,0.625,2.0,61.0,3,0.75,1.0,0.14,3.0,14,60.0,3.0,0.75,1.0,0.0,,13.0,59.0,4.0,0.8125,2.0,0.0,,12.0,58.0,2.0,0.875,0.0,0.6,1.0,11.0,57.0,1.0,0.625,0.0,0.0,,10.0
0,BeliBi0,2014,NWE,20,15,0,1,5,0.45,1.0,0,0,0.059,4,6,4.0,0.5,0.0,0.563,1.0,0.625,2.0,62.0,5,0.75,3.0,0.02,5.0,15,61.0,3.0,0.75,1.0,0.14,3.0,14.0,60.0,3.0,0.75,1.0,0.0,,13.0,59.0,4.0,0.8125,2.0,0.0,,12.0,58.0,2.0,0.875,0.0,0.6,1.0,11.0
0,BeliBi0,2015,NWE,21,16,0,1,5,0.45,1.0,0,0,0.059,4,6,4.0,0.5,0.0,0.563,1.0,0.625,2.0,63.0,3,0.75,1.0,0.02,7.0,16,62.0,5.0,0.75,3.0,0.02,5.0,15.0,61.0,3.0,0.75,1.0,0.14,3.0,14.0,60.0,3.0,0.75,1.0,0.0,,13.0,59.0,4.0,0.8125,2.0,0.0,,12.0
0,BeliBi0,2016,NWE,22,17,0,1,5,0.45,1.0,0,0,0.059,5,7,4.0,0.5,0.0,0.563,1.0,0.625,2.0,64.0,5,0.875,3.0,0.28,2.0,17,63.0,3.0,0.75,1.0,0.02,7.0,16.0,62.0,5.0,0.75,3.0,0.02,5.0,15.0,61.0,3.0,0.75,1.0,0.14,3.0,14.0,60.0,3.0,0.75,1.0,0.0,,13.0
0,BeliBi0,2017,NWE,23,18,0,1,5,0.45,1.0,0,0,0.059,5,8,4.0,0.5,0.0,0.563,1.0,0.625,2.0,65.0,4,0.8125,2.0,0.02,4.0,18,64.0,5.0,0.875,3.0,0.28,2.0,17.0,63.0,3.0,0.75,1.0,0.02,7.0,16.0,62.0,5.0,0.75,3.0,0.02,5.0,15.0,61.0,3.0,0.75,1.0,0.14,3.0,14.0
0,BeliBi0,2018,NWE,24,19,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,66.0,5,0.6875,3.0,0.0,,19,65.0,4.0,0.8125,2.0,0.02,4.0,18.0,64.0,5.0,0.875,3.0,0.28,2.0,17.0,63.0,3.0,0.75,1.0,0.02,7.0,16.0,62.0,5.0,0.75,3.0,0.02,5.0,15.0
0,BeliBi0,2019,NWE,25,20,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,67.0,1,0.75,0.0,0.0,,20,66.0,5.0,0.6875,3.0,0.0,,19.0,65.0,4.0,0.8125,2.0,0.02,4.0,18.0,64.0,5.0,0.875,3.0,0.28,2.0,17.0,63.0,3.0,0.75,1.0,0.02,7.0,16.0
0,BeliBi0,2020,NWE,26,21,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,68.0,0,0.4375,0.0,0.0,,21,67.0,1.0,0.75,0.0,0.0,,20.0,66.0,5.0,0.6875,3.0,0.0,,19.0,65.0,4.0,0.8125,2.0,0.02,4.0,18.0,64.0,5.0,0.875,3.0,0.28,2.0,17.0
0,BeliBi0,2021,NWE,27,22,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,69.0,1,0.5882352941176471,0.0,0.02,5.0,22,68.0,0.0,0.4375,0.0,0.0,,21.0,67.0,1.0,0.75,0.0,0.0,,20.0,66.0,5.0,0.6875,3.0,0.0,,19.0,65.0,4.0,0.8125,2.0,0.02,4.0,18.0
0,BeliBi0,2022,NWE,28,23,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,70.0,0,0.47058823529411764,0.0,0.0,,23,69.0,1.0,0.5882352941176471,0.0,0.02,5.0,22.0,68.0,0.0,0.4375,0.0,0.0,,21.0,67.0,1.0,0.75,0.0,0.0,,20.0,66.0,5.0,0.6875,3.0,0.0,,19.0
1,BeliBi0,2023,NWE,29,24,0,1,5,0.45,1.0,0,0,0.059,6,9,4.0,0.5,0.0,0.563,1.0,0.625,2.0,71.0,0,0.23529411764705882,0.0,0.0,,24,70.0,0.0,0.47058823529411764,0.0,0.0,,23.0,69.0,1.0,0.5882352941176471,0.0,0.02,5.0,22.0,68.0,0.0,0.4375,0.0,0.0,,21.0,67.0,1.0,0.75,0.0,0.0,,20.0
1,BengPh0,1970,GNB,1,1,0,0,0,,0.0,0,0,0.0,0,0,,,,,,,,57.0,0,0.42857142857142855,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BennLe0,1977,ATL,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,39.0,0,0.5,0.0,0.012,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BennLe0,1978,ATL,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,40.0,2,0.5625,1.0,0.095,5.0,2,39.0,0.0,0.5,0.0,0.012,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,BennLe0,1979,ATL,3,3,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,41.0,0,0.375,0.0,0.0,,3,40.0,2.0,0.5625,1.0,0.095,5.0,2.0,39.0,0.0,0.5,0.0,0.012,3.0,1.0,,,,,,,,,,,,,,
0,BennLe0,1980,ATL,4,4,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,42.0,2,0.75,0.0,0.315,2.0,4,41.0,0.0,0.375,0.0,0.0,,3.0,40.0,2.0,0.5625,1.0,0.095,5.0,2.0,39.0,0.0,0.5,0.0,0.012,3.0,1.0,,,,,,,
0,BennLe0,1981,ATL,5,5,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,43.0,0,0.4375,0.0,0.0,,5,42.0,2.0,0.75,0.0,0.315,2.0,4.0,41.0,0.0,0.375,0.0,0.0,,3.0,40.0,2.0,0.5625,1.0,0.095,5.0,2.0,39.0,0.0,0.5,0.0,0.012,3.0,1.0
1,BennLe0,1982,ATL,6,6,0,0,0,,0.0,0,0,0.0,0,0,,0.286,0.0,0.286,0.0,0.214,0.0,44.0,1,0.5555555555555556,0.0,0.024,5.0,6,43.0,0.0,0.4375,0.0,0.0,,5.0,42.0,2.0,0.75,0.0,0.315,2.0,4.0,41.0,0.0,0.375,0.0,0.0,,3.0,40.0,2.0,0.5625,1.0,0.095,5.0,2.0
0,BennLe0,1985,TAM,7,1,0,1,6,0.5287356321839081,1.0,0,0,0.446,0,0,2.0,0.375,0.0,0.125,0.0,0.556,1.0,47.0,0,0.125,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BennLe0,1986,TAM,8,2,0,1,6,0.5287356321839081,1.0,0,0,0.446,0,0,2.0,0.375,0.0,0.125,0.0,0.556,1.0,48.0,0,0.125,0.0,0.0,,2,47.0,0.0,0.125,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,BerrRa0,1985,NWE,1,1,0,0,0,,0.0,0,0,0.0,0,1,,0.563,0.0,0.5,0.0,0.556,1.0,52.0,4,0.6875,3.0,0.06,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BerrRa0,1986,NWE,2,2,0,0,0,,0.0,0,0,0.0,0,1,,0.563,0.0,0.5,0.0,0.556,1.0,53.0,2,0.6875,0.0,0.036,5.0,2,52.0,4.0,0.6875,3.0,0.06,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,BerrRa0,1987,NWE,3,3,0,0,0,,0.0,0,0,0.0,0,1,,0.563,0.0,0.5,0.0,0.556,1.0,54.0,0,0.5333333333333333,0.0,0.0,,3,53.0,2.0,0.6875,0.0,0.036,5.0,2.0,52.0,4.0,0.6875,3.0,0.06,2.0,1.0,,,,,,,,,,,,,,
0,BerrRa0,1988,NWE,4,4,0,0,0,,0.0,0,0,0.0,0,1,,0.563,0.0,0.5,0.0,0.556,1.0,55.0,0,0.5625,0.0,0.0,,4,54.0,0.0,0.5333333333333333,0.0,0.0,,3.0,53.0,2.0,0.6875,0.0,0.036,5.0,2.0,52.0,4.0,0.6875,3.0,0.06,2.0,1.0,,,,,,,
1,BerrRa0,1989,NWE,5,5,0,0,0,,0.0,0,0,0.0,0,1,,0.563,0.0,0.5,0.0,0.556,1.0,56.0,0,0.3125,0.0,0.0,,5,55.0,0.0,0.5625,0.0,0.0,,4.0,54.0,0.0,0.5333333333333333,0.0,0.0,,3.0,53.0,2.0,0.6875,0.0,0.036,5.0,2.0,52.0,4.0,0.6875,3.0,0.06,2.0,1.0
0,BileEd0,1981,HOU,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.688,1.0,0.688,3.0,0.625,3.0,50.0,0,0.4375,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BileEd0,1982,HOU,2,2,0,0,0,,0.0,0,0,0.0,0,0,,0.688,1.0,0.688,3.0,0.625,3.0,51.0,0,0.1111111111111111,0.0,0.0,,2,50.0,0.0,0.4375,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,BillBr0,1999,BAL,1,1,0,0,0,,0.0,0,0,0.0,0,0,,0.375,0.0,0.406,0.0,0.25,0.0,45.0,0,0.5,0.0,0.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BillBr0,2000,BAL,2,2,0,0,0,,0.0,0,0,0.0,1,1,,0.375,0.0,0.406,0.0,0.25,0.0,46.0,5,0.75,4.0,0.02,6.0,2,45.0,0.0,0.5,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
0,BillBr0,2001,BAL,3,3,0,0,0,,0.0,0,0,0.0,1,1,,0.375,0.0,0.406,0.0,0.25,0.0,47.0,2,0.625,1.0,0.0,,3,46.0,5.0,0.75,4.0,0.02,6.0,2.0,45.0,0.0,0.5,0.0,0.0,,1.0,,,,,,,,,,,,,,
