Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
KAN,Kansas City Chiefs,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,1,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,2,2,1,3,5,4,3,5,5,3
SDG,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0,2,3,2,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1
DEN,Denver Broncos,0,0,0,0,0,0,0,4,2,1,0,0,0,1,2,0,4,4,0,4,0,3,0,1,0,0,2,5,5,0,1,0,0,1,1,3,0,0,0,0,0,2,2,4,2,5,0,0,0,0,0,0,0,0,1
RAI,Las Vegas Raiders,3,0,2,3,3,3,5,3,0,0,5,0,2,5,1,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
PHI,Philadelphia Eagles,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,2,1,1,0,2,0,0,2,1,0,0,0,2,3,3,3,4,0,2,0,3,1,1,0,0,1,0,0,0,5,2,1,0,1,4,1,3
WAS,Washington Commanders,0,2,4,2,2,0,2,0,0,0,0,0,5,4,2,0,3,5,0,0,2,5,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3
DAL,Dallas Cowboys,4,5,3,3,0,4,2,5,4,2,3,3,3,1,0,2,0,0,0,0,0,2,5,5,3,5,2,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,0,0,2,0,2,0,2,0,0,1,2,1,0
NYG,New York Giants,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,5,0,0,2,5,0,0,2,0,0,0,1,0,0,4,0,1,0,0,1,1,5,2,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0
DET,Detroit Lions,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,2
MIN,Minnesota Vikings,2,2,0,4,4,2,4,3,2,0,2,0,2,0,0,0,0,3,2,2,0,0,1,1,1,0,1,2,3,2,3,0,0,0,2,0,0,0,1,3,0,0,1,0,0,1,0,3,0,2,0,0,1,0,1
GNB,Green Bay Packers,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,1,0,0,2,1,2,1,0,0,3,0,1,5,2,2,1,3,2,3,0,0,3,3,2,0,0,0
CHI,Chicago Bears,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,5,2,2,3,0,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TAM,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1
ATL,Atlanta Falcons,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,2,0,3,0,0,0,1,0,2,1,3,0,0,0,4,2,0,0,0,0,0,0,0
CAR,Carolina Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,2,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0
NOR,New Orleans Saints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,1,2,0,2,0,0,0,2,3,1,2,0,0,0,0
RAM,Los Angeles Rams,0,0,0,2,3,3,3,2,3,4,1,0,0,2,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0,5,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,5,0,1,2
SEA,Seattle Seahawks,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,2,2,0,0,2,0,2,5,4,2,2,0,1,2,1,0,1,0,0
CRD,Arizona Cardinals,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
SFO,San Francisco 49ers,3,3,2,0,0,0,0,0,0,0,0,5,0,3,5,1,2,2,5,5,3,0,3,3,5,2,2,3,2,0,0,1,2,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,4,0,3,3,4,0
