,fired,year,tm,id,age,round,win_pct,w_plyf,exp,tenure,tenure_over_500,tenure_w_plyf,tenure_coy_share,exp_coy_share,srs,ou,gm,owner,coy_share,coy_rank,poc,delta_1yr_win_pct,delta_2yr_win_pct,delta_3yr_win_pct,delta_1yr_plyf,delta_2yr_plyf,delta_3yr_plyf,pred,prob,name,team,win_pct_proj,color1,color2,wins,losses,l_plyf,ou_line
31,0,2025,ARI,GannJo0,41,0.0,0.471,0.0,3,3,-10,0.0,0.0,0.0,2.1,1.0,1,1,0.0,0,0,0.236,0.236,-0.176,0,0,-1,0,0.07,Jonathan Gannon,CRD,0.471,97233F,FFB612,0,0,0,7.27
32,0,2025,RAI,CarrPe0,73,0.1,0.235,0.04,19,1,0,0.0,0.0,0.243,0.0,0.0,1,1,0.0,0,0,-0.236,-0.118,-0.353,0,0,-1,0,0.24,Pete Carroll,RAI,0.3,A5ACAF,000000,0,0,0,5.08
33,0,2024,GNB,LaFlMa0,45,0.0,0.647,0.0,6,6,34,3.0,0.292,0.292,8.1,1.0,1,1,0.007,10,0,0.118,0.176,-0.118,0,0,-2,0,0.1,Matt LaFleur,GNB,0.647,203731,FFB612,11,6,1,10.0
34,0,2024,NYG,DaboBr0,49,0.0,0.176,0.0,3,3,-14,1.0,0.273,0.273,-8.0,-3.5,1,1,0.0,0,0,-0.177,-0.383,-0.059,0,-2,0,1,0.62,Brian Daboll,NYG,0.176,0B2265,A71930,3,14,0,6.5
35,0,2024,DET,CampDa1,48,2.0,0.882,0.0,5,4,11,2.0,0.376,0.376,13.8,4.5,1,1,0.27,2,0,0.176,0.353,0.676,-1,2,2,0,0.02,Dan Campbell,DET,0.882,005A8B,B0B7BC,15,2,1,10.5
36,0,2024,ATL,MorrRa0,48,0.0,0.0,0.0,5,1,-4,0.0,0.0,0.23,-2.2,-1.5,1,1,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0.14,Raheem Morris,ATL,0.471,A71930,A5ACAF,8,9,0,9.5
37,0,2024,IND,SteiSh0,39,0.0,0.471,0.0,2,2,0,0.0,0.009,0.009,-3.7,-0.5,1,1,0.0,0,0,-0.058,0.206,-0.058,0,0,0,0,0.19,Shane Steichen,CLT,0.471,002C5F,A5ACAF,8,9,0,8.5
38,0,2024,BUF,McDeSe0,50,3.0,0.765,2.0,8,8,41,7.0,0.322,0.322,8.1,3.0,1,1,0.03,7,0,0.118,-0.048,0.118,1,1,1,0,0.02,Sean McDermott,BUF,0.765,00338D,C60C30,13,4,1,10.0
39,1,2024,NWE,MayoJe0,38,0.0,0.235,0.0,1,1,-9,0.0,0.0,0.0,-8.1,-0.5,0,1,0.0,0,1,0.0,-0.236,-0.353,0,0,-1,0,0.17,Jerod Mayo,NWE,0.235,002244,C60C30,4,13,0,4.5
40,0,2024,PHI,SiriNi0,43,5.0,0.824,4.0,4,4,28,6.0,0.103,0.103,7.7,3.5,1,1,0.003,12,0,0.177,0.0,0.295,4,1,4,0,0.0,Nick Sirianni,PHI,0.824,004953,A5ACAF,14,3,0,10.5
41,0,2024,WAS,QuinDa0,54,3.0,0.0,2.0,7,1,7,2.0,0.081,0.081,3.7,5.5,1,1,0.081,4,0,0.0,0.0,0.0,0,0,0,0,0.04,Dan Quinn,WAS,0.706,773141,FFB612,12,5,1,6.5
42,0,2024,TEN,CallBr0,40,0.0,0.0,0.0,1,1,-11,0.0,0.0,0.0,-8.4,-3.5,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.36,Brian Callahan,OTI,0.176,002244,4B92DB,3,14,0,6.5
43,0,2024,HOU,RyanDe0,40,2.0,0.588,1.0,2,2,6,2.0,0.367,0.367,-0.7,0.5,1,-1,0.0,0,1,0.0,0.382,0.353,0,2,2,0,0.08,DeMeco Ryans,HTX,0.588,03202F,A71930,10,7,1,9.5
44,0,2024,KAN,ReidAn0,66,4.0,0.882,2.0,26,12,90,18.0,0.686,1.665,4.2,3.5,-1,1,0.113,3,0,0.235,0.058,0.176,-1,-1,1,0,0.02,Andy Reid,KAN,0.882,E31837,FFB612,15,2,1,11.5
45,0,2024,DEN,PaytSe0,61,1.0,0.588,0.0,17,2,2,0.0,0.068,1.259,6.4,4.5,1,1,0.068,5,0,0.117,0.294,0.176,1,1,1,0,0.01,Sean Payton,DEN,0.588,002244,FB4F14,10,7,1,5.5
46,0,2024,PIT,TomlMi0,52,1.0,0.588,0.0,18,18,76,8.0,0.077,0.077,2.1,2.0,-1,-1,0.015,8,1,0.0,0.059,0.029,0,1,0,0,0.05,Mike Tomlin,PIT,0.588,FFB612,C60C30,10,7,1,8.0
47,0,2024,LAC,HarbJi0,61,1.0,0.0,0.0,5,1,5,0.0,0.056,0.956,5.3,2.0,1,1,0.056,6,0,0.0,0.0,0.0,0,0,0,0,0.0,Jim Harbaugh,SDG,0.647,002244,0073CF,11,6,1,9.0
48,0,2024,MIA,McDaMi0,41,0.0,0.471,0.0,3,3,5,0.0,0.002,0.002,-3.0,-2.0,1,1,0.0,0,1,-0.176,-0.058,-0.058,-1,-1,0,0,0.26,Mike McDaniel,MIA,0.471,008E97,F58220,8,9,0,10.0
49,0,2024,MIN,OConKe0,39,1.0,0.824,0.0,3,3,17,0.0,0.395,0.395,6.2,7.5,1,1,0.344,1,0,0.412,0.059,0.353,1,0,1,0,0.08,Kevin O'Connell,MIN,0.824,4F2683,FFC62F,14,3,1,6.5
50,0,2024,LAR,McVaSe0,38,2.0,0.588,1.0,8,8,28,8.0,0.756,0.756,-0.1,1.5,1,1,0.009,9,0,0.0,0.294,-0.118,1,2,-3,0,0.03,Sean McVay,RAM,0.588,002244,B3995D,10,7,1,8.5
51,1,2024,JAX,PedeDo0,56,0.0,0.235,0.0,8,3,-7,1.0,0.167,0.187,-7.5,-4.5,1,1,0.0,0,0,-0.294,-0.294,0.059,0,-2,0,1,0.65,Doug Pederson,JAX,0.235,006778,9F792C,4,13,0,8.5
52,1,2024,NYJ,SaleRo0,45,0.0,0.4,0.0,4,4,-16,0.0,0.0,0.0,-4.3,-4.5,1,1,0.0,0,1,-0.012,-0.012,0.165,0,0,0,1,0.52,Robert Saleh,NYJ,0.4,203731,000000,2,3,0,6.5
53,0,2024,TAM,BowlTo0,61,1.0,0.588,0.0,8,3,3,1.0,0.005,0.005,6.4,2.5,1,1,0.003,11,1,0.059,0.117,-0.177,-1,0,-1,0,0.1,Todd Bowles,TAM,0.588,D50A0A,34302B,10,7,1,7.5
54,0,2024,BAL,HarbJo0,62,2.0,0.706,1.0,17,17,68,13.0,0.61,0.61,9.9,1.5,-1,1,0.002,13,0,-0.059,0.118,0.235,-1,1,2,0,0.04,John Harbaugh,RAV,0.706,241773,9E7C0C,12,5,1,10.5
55,0,2024,SFO,ShanKy0,45,0.0,0.353,0.0,8,8,8,8.0,0.57,0.57,-1.2,-5.5,1,-1,0.0,0,0,-0.353,-0.412,-0.235,-4,-3,-3,0,0.26,Kyle Shanahan,SFO,0.353,AA0000,B3995D,6,11,0,11.5
56,0,2024,CAR,CanaDa0,43,0.0,0.0,0.0,1,1,-7,0.0,0.0,0.0,-11.0,-0.5,1,1,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0.09,Dave Canales,CAR,0.294,0085CA,BFC0BF,5,12,0,5.5
57,0,2024,ARI,GannJo0,41,0.0,0.471,0.0,2,2,-10,0.0,0.0,0.0,2.1,1.0,1,1,0.0,0,0,0.236,0.236,-0.176,0,0,-1,0,0.07,Jonathan Gannon,CRD,0.471,97233F,FFB612,8,9,0,7.0
58,1,2024,LVR,PierAn0,46,0.0,0.235,0.0,2,2,-8,0.0,0.0,0.0,-6.4,-2.5,0,0,0.0,0,1,-0.236,-0.118,-0.353,0,0,-1,0,0.46,Antonio Pierce,RAI,0.235,A5ACAF,000000,4,13,0,6.5
59,0,2024,CIN,TaylZa0,41,0.0,0.529,0.0,6,6,-6,5.0,0.04,0.04,1.4,-1.5,1,1,0.0,0,0,0.0,-0.221,-0.059,0,-3,-4,0,0.17,Zac Taylor,CIN,0.529,FB4F14,000000,9,8,0,10.5
60,1,2024,DAL,McCaMi0,61,0.0,0.412,0.0,18,5,14,1.0,0.0,0.36,-6.3,-3.0,1,1,0.0,0,0,-0.294,-0.294,-0.294,-1,-2,-1,0,0.45,Mike McCarthy,DAL,0.412,002244,B0B7BC,7,10,0,10.0
61,1,2024,NOR,AlleDe0,52,0.0,0.222,0.0,6,3,-7,0.0,0.0,0.0,-4.1,-2.5,1,1,0.0,0,0,-0.307,-0.19,-0.307,0,0,0,0,0.42,Dennis Allen,NOR,0.222,9F8958,000000,2,7,0,4.5
62,1,2024,CHI,EberMa0,54,0.0,0.333,0.0,3,3,-18,0.0,0.0,0.0,-2.3,-3.5,1,1,0.0,0,0,-0.079,0.157,-0.02,0,0,0,1,0.73,Matt Eberflus,CHI,0.333,0B162A,C83803,4,8,0,7.5
63,0,2024,SEA,MacdMi0,37,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,1.3,2.5,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.07,Mike Macdonald,SEA,0.588,002244,69BE28,10,7,0,7.5
64,0,2024,CLE,StefKe0,42,0.0,0.176,0.0,5,5,-4,1.0,0.877,0.877,-9.2,-5.5,1,1,0.0,0,0,-0.471,-0.236,-0.295,-1,0,0,0,0.45,Kevin Stefanski,CLE,0.176,FB4F14,22150C,3,14,0,8.5
65,1,2023,TEN,VrabMi0,48,0.0,0.353,0.0,6,6,9,2.0,0.72,0.72,-3.2,-1.5,-1,1,0.0,0,0,-0.059,-0.353,-0.335,0,-2,-1,0,0.4,Mike Vrabel,OTI,0.353,002244,4B92DB,6,11,0,7.5
66,0,2023,CHI,EberMa0,53,0.0,0.412,0.0,2,2,-14,0.0,0.0,0.0,-2.0,-0.5,1,1,0.0,0,0,0.236,0.059,-0.088,0,0,-1,0,0.27,Matt Eberflus,CHI,0.412,0B162A,C83803,7,10,0,7.5
67,0,2023,LAR,McVaSe0,37,1.0,0.588,0.0,7,7,25,7.0,0.747,0.747,3.0,3.5,1,1,0.047,6,0,0.294,-0.118,-0.037,1,-4,-1,0,0.06,Sean McVay,RAM,0.588,002244,B3995D,10,7,1,6.5
68,1,2023,SEA,CarrPe0,72,0.0,0.529,0.0,18,14,48,10.0,0.243,0.243,-1.0,0.0,1,-1,0.0,0,0,0.0,0.117,-0.221,-1,0,-1,0,0.23,Pete Carroll,SEA,0.529,002244,69BE28,9,8,0,9.0
69,0,2023,DEN,PaytSe0,60,0.0,0.0,0.0,16,1,-1,0.0,0.0,1.191,-3.8,-0.5,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.16,Sean Payton,DEN,0.471,002244,FB4F14,8,9,0,8.5
70,1,2023,NWE,BeliBi0,71,0.0,0.235,0.0,29,24,145,30.0,2.903,2.962,-7.9,-3.5,1,1,0.0,0,0,-0.236,-0.353,-0.203,0,-1,0,1,0.59,Bill Belichick,NWE,0.235,002244,C60C30,4,13,0,7.5
71,0,2023,KAN,ReidAn0,65,5.0,0.647,4.0,25,11,77,16.0,0.573,1.552,3.7,-0.5,-1,1,0.0,0,0,-0.177,-0.059,-0.228,0,2,1,0,0.16,Andy Reid,KAN,0.647,E31837,FFB612,11,6,0,11.5
72,0,2023,MIN,OConKe0,38,0.0,0.412,0.0,2,2,6,0.0,0.051,0.051,-0.6,-1.5,1,1,0.0,0,0,-0.353,-0.059,-0.026,-1,0,0,0,0.15,Kevin O'Connell,MIN,0.412,4F2683,FFC62F,7,10,0,8.5
73,1,2023,ATL,SmitAr0,41,0.0,0.412,0.0,3,3,-9,0.0,0.0,0.0,-5.0,-1.5,1,1,0.0,0,0,0.0,0.0,0.162,0,0,0,0,0.34,Arthur Smith,ATL,0.412,A71930,A5ACAF,7,10,0,8.5
74,0,2023,BUF,McDeSe0,49,2.0,0.647,1.0,7,7,32,5.0,0.292,0.292,6.5,0.5,1,1,0.002,12,0,-0.166,0.0,-0.166,0,0,-1,0,0.03,Sean McDermott,BUF,0.647,00338D,C60C30,11,6,1,10.5
75,1,2023,WAS,RiveRo0,61,0.0,0.235,0.0,13,4,-14,0.0,0.082,1.242,-11.1,-2.5,-1,-1,0.0,0,1,-0.265,0.235,0.235,0,0,-1,0,0.46,Ron Rivera,WAS,0.235,773141,FFB612,4,13,0,6.5
76,0,2023,NYG,DaboBr0,48,0.0,0.353,0.0,2,2,-3,1.0,0.273,0.273,-7.9,-1.5,1,1,0.0,0,0,-0.206,0.118,-0.022,-2,0,0,0,0.12,Brian Daboll,NYG,0.353,0B2265,A71930,6,11,0,7.5
77,0,2023,NYJ,SaleRo0,44,0.0,0.412,0.0,3,3,-15,0.0,0.0,0.0,-5.8,-2.5,1,1,0.0,0,1,0.0,0.177,0.287,0,0,0,0,0.42,Robert Saleh,NYJ,0.412,203731,000000,7,10,0,9.5
78,0,2023,IND,SteiSh0,38,0.0,0.0,0.0,1,1,1,0.0,0.009,0.009,-1.3,2.5,1,1,0.009,8,0,0.0,0.0,0.0,0,0,0,0,0.02,Shane Steichen,CLT,0.529,002C5F,A5ACAF,9,8,0,6.5
79,0,2023,HOU,RyanDe0,39,2.0,0.0,1.0,1,1,3,1.0,0.367,0.367,0.4,3.5,1,1,0.367,2,1,0.0,0.0,0.0,0,0,0,0,0.0,DeMeco Ryans,HTX,0.588,03202F,A71930,10,7,1,6.5
80,0,2023,TAM,BowlTo0,60,2.0,0.529,1.0,7,2,0,1.0,0.002,0.002,1.1,3.0,1,1,0.002,10,1,0.058,-0.236,-0.159,1,0,-3,0,0.07,Todd Bowles,TAM,0.529,D50A0A,34302B,9,8,1,6.0
81,0,2023,PIT,TomlMi0,51,1.0,0.588,0.0,17,17,73,8.0,0.062,0.062,0.7,1.0,-1,-1,0.011,7,1,0.059,0.029,-0.162,1,0,0,0,0.07,Mike Tomlin,PIT,0.588,FFB612,C60C30,10,7,1,9.0
82,0,2023,PHI,SiriNi0,42,1.0,0.647,0.0,3,3,17,2.0,0.1,0.1,-0.1,-0.5,1,1,0.0,0,0,-0.177,0.118,0.366,-3,0,1,0,0.13,Nick Sirianni,PHI,0.647,004953,A5ACAF,11,6,1,11.5
83,1,2023,LAC,StalBr0,41,0.0,0.357,0.0,3,3,0,0.0,0.0,0.0,-2.2,-4.5,1,1,0.0,0,0,-0.231,-0.172,-0.081,-1,0,0,0,0.25,Brandon Staley,SDG,0.357,002244,0073CF,5,9,0,9.5
84,0,2023,SFO,ShanKy0,44,4.0,0.706,2.0,7,7,13,8.0,0.57,0.57,11.8,1.0,1,1,0.058,5,0,-0.059,0.118,0.331,1,1,4,0,0.02,Kyle Shanahan,SFO,0.706,AA0000,B3995D,12,5,1,11.0
85,1,2023,CAR,ReicFr0,62,0.0,0.0,0.0,6,1,-9,0.0,0.0,0.16,-9.9,-5.5,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.45,Frank Reich,CAR,0.091,0085CA,BFC0BF,1,10,0,6.5
86,0,2023,MIA,McDaMi0,40,1.0,0.647,0.0,2,2,6,0.0,0.002,0.002,4.4,1.5,1,1,0.002,11,1,0.118,0.118,0.022,0,1,1,0,0.03,Mike McDaniel,MIA,0.647,008E97,F58220,11,6,1,9.5
87,0,2023,CLE,StefKe0,41,1.0,0.647,0.0,4,4,7,1.0,0.877,0.877,3.3,2.0,1,1,0.367,1,0,0.235,0.176,-0.041,1,1,-1,0,0.0,Kevin Stefanski,CLE,0.647,FB4F14,22150C,11,6,1,9.0
88,0,2023,ARI,GannJo0,40,0.0,0.0,0.0,1,1,-9,0.0,0.0,0.0,-5.4,-0.5,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.2,Jonathan Gannon,CRD,0.235,97233F,FFB612,4,13,0,4.5
89,0,2023,DET,CampDa1,47,3.0,0.706,2.0,4,3,-2,2.0,0.106,0.106,4.3,2.5,1,1,0.073,3,0,0.177,0.5,0.393,3,3,3,0,0.01,Dan Campbell,DET,0.706,005A8B,B0B7BC,12,5,1,9.5
90,1,2023,LVR,McDaJo0,47,0.0,0.375,0.0,4,2,-7,0.0,0.0,0.0,-0.9,1.5,-1,1,0.0,0,0,0.022,-0.213,-0.125,0,-1,0,0,0.27,Josh McDaniels,RAI,0.375,A5ACAF,000000,3,5,0,1.5
91,0,2023,CIN,TaylZa0,40,0.0,0.529,0.0,5,5,-7,5.0,0.04,0.04,1.7,-2.0,1,1,0.0,0,0,-0.221,-0.059,0.248,-3,-4,0,0,0.22,Zac Taylor,CIN,0.529,FB4F14,000000,9,8,0,11.0
92,0,2023,DAL,McCaMi0,60,1.0,0.706,0.0,17,4,17,1.0,0.0,0.36,9.2,2.0,1,1,0.0,0,0,0.0,0.0,0.331,-1,0,1,0,0.11,Mike McCarthy,DAL,0.706,002244,B0B7BC,12,5,1,10.0
93,0,2023,GNB,LaFlMa0,44,0.0,0.529,1.0,5,5,29,3.0,0.285,0.285,1.2,1.5,1,1,0.004,9,0,0.058,-0.236,-0.284,0,-2,-3,0,0.06,Matt LaFleur,GNB,0.529,203731,FFB612,9,8,1,7.5
94,0,2023,JAX,PedeDo0,55,0.0,0.529,0.0,7,2,2,1.0,0.167,0.187,1.4,-0.5,1,1,0.0,0,0,0.0,0.353,0.466,-2,0,0,0,0.09,Doug Pederson,JAX,0.529,006778,9F792C,9,8,0,9.5
95,0,2023,NOR,AlleDe0,51,0.0,0.529,0.0,5,2,-2,0.0,0.0,0.0,2.2,-0.5,1,1,0.0,0,0,0.117,0.0,-0.221,0,0,-2,0,0.14,Dennis Allen,NOR,0.529,9F8958,000000,9,8,0,9.5
96,0,2023,BAL,HarbJo0,61,3.0,0.765,1.0,16,16,61,12.0,0.608,0.608,13.2,3.0,-1,1,0.058,4,0,0.177,0.294,0.077,2,3,1,0,0.0,John Harbaugh,RAV,0.765,241773,9E7C0C,13,4,1,10.0
97,0,2022,NYG,DaboBr0,47,2.0,0.0,1.0,1,1,2,1.0,0.273,0.273,-0.4,2.0,1,1,0.273,1,0,0.0,0.0,0.0,0,0,0,0,0.0,Brian Daboll,NYG,0.559,0B2265,A71930,9,7,1,7.0
98,0,2022,ATL,SmitAr0,40,0.0,0.412,0.0,2,2,-6,0.0,0.0,0.0,-2.1,2.5,1,1,0.0,0,0,0.0,0.162,-0.026,0,0,0,0,0.13,Arthur Smith,ATL,0.412,A71930,A5ACAF,7,10,0,4.5
99,0,2022,TAM,BowlTo0,59,1.0,0.0,0.0,6,1,-1,0.0,0.0,0.0,-2.3,-3.0,1,1,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0.29,Todd Bowles,TAM,0.471,D50A0A,34302B,8,9,1,11.0
100,0,2022,CLE,StefKe0,40,0.0,0.412,0.0,3,3,2,1.0,0.51,0.51,-0.1,-1.0,1,1,0.0,0,0,-0.059,-0.276,0.037,0,-2,0,0,0.29,Kevin Stefanski,CLE,0.412,FB4F14,22150C,7,10,0,8.0
101,0,2022,NYJ,SaleRo0,43,0.0,0.412,0.0,2,2,-12,0.0,0.0,0.0,0.8,1.5,1,1,0.0,0,1,0.177,0.287,-0.026,0,0,0,0,0.14,Robert Saleh,NYJ,0.412,203731,000000,7,10,0,5.5
102,0,2022,BUF,McDeSe0,48,2.0,0.813,1.0,6,6,27,4.0,0.29,0.29,10.9,1.0,1,1,0.107,4,0,0.166,0.0,0.188,0,-1,1,0,0.01,Sean McDermott,BUF,0.813,00338D,C60C30,13,3,1,12.0
