,rank,name,share,year,id
53,4,Mike McCormack,0.08,1973,McCoMi0
54,5,John North,0.04,1973,NortJo0
55,6,Lou Saban,0.02,1973,SabaLo0
56,5,Lou Saban,0.026,1974,SabaLo0
57,1,Don Coryell,0.641,1974,CoryDo0
58,5,Don Coryell,0.038,1975,CoryDo0
59,6,Don Coryell,0.047,1978,CoryDo0
60,3,Don Coryell,0.119,1979,CoryDo0
61,2,Sid Gillman,0.154,1974,GillSi0
62,3,Chuck Fairbanks,0.102,1974,FairCh0
63,2,Chuck Fairbanks,0.333,1976,FairCh0
64,7,Chuck Fairbanks,0.024,1978,FairCh0
65,4,John Madden,0.051,1974,MaddJo0
66,5,John Madden,0.036,1976,MaddJo0
67,1,Ted Marchibroda,0.654,1975,MarcTe0
68,6,Ted Marchibroda,0.018,1976,MarcTe0
69,6,Ted Marchibroda,0.076,1992,MarcTe0
70,2,Bum Phillips,0.154,1975,PhilBu0
71,4,Bum Phillips,0.107,1978,PhilBu0
72,6,Bum Phillips,0.048,1979,PhilBu0
73,10,Bum Phillips,0.012,1983,PhilBu0
74,1,Forrest Gregg,0.381,1976,GregFo0
75,2,Forrest Gregg,0.185,1981,GregFo0
76,7,Jack Pardee,0.009,1976,PardJa0
77,1,Jack Pardee,0.357,1979,PardJa0
78,2,Jack Pardee,0.074,1993,PardJa0
79,8,Jack Patera,0.004,1976,PateJa0
80,1,Jack Patera,0.298,1978,PateJa0
81,1,Red Miller,0.69,1977,MillRe0
82,3,Leeman Bennett,0.012,1977,BennLe0
83,5,Leeman Bennett,0.095,1978,BennLe0
84,2,Leeman Bennett,0.315,1980,BennLe0
85,5,Leeman Bennett,0.024,1982,BennLe0
86,2,Walt Michaels,0.25,1978,MichWa0
87,5,Walt Michaels,0.012,1981,MichWa0
88,3,Dick Vermeil,0.155,1978,VermDi0
89,2,Dick Vermeil,0.274,1979,VermDi0
90,1,Dick Vermeil,0.55,1999,VermDi0
91,11,Bart Starr,0.004,1978,StarBa0
92,4,John McKay,0.083,1979,McKaJo0
93,5,Sam Rutigliano,0.071,1979,RutiSa0
94,3,Sam Rutigliano,0.214,1980,RutiSa0
95,4,Tom Flores,0.048,1980,FlorTo0
96,2,Tom Flores,0.167,1982,FlorTo0
97,8,Tom Flores,0.036,1983,FlorTo0
98,4,Tom Flores,0.059,1985,FlorTo0
99,1,Bill Walsh,0.732,1981,WalsBi0
100,5,Bill Walsh,0.037,1984,WalsBi0
101,8,Bill Walsh,0.012,1986,WalsBi0
102,2,Bill Walsh,0.048,1987,WalsBi0
103,6,Dan Reeves,0.012,1981,ReevDa0
104,4,Dan Reeves,0.071,1983,ReevDa0
105,2,Dan Reeves,0.131,1984,ReevDa0
106,2,Dan Reeves,0.25,1989,ReevDa0
107,8,Dan Reeves,0.037,1991,ReevDa0
108,1,Dan Reeves,0.84,1993,ReevDa0
109,7,Dan Reeves,0.01,1994,ReevDa0
110,1,Dan Reeves,0.5,1998,ReevDa0
111,1,Joe Gibbs,0.583,1982,GibbJo0
112,1,Joe Gibbs,0.393,1983,GibbJo0
113,5,Joe Gibbs,0.029,1985,GibbJo0
114,7,Joe Gibbs,0.012,1986,GibbJo0
115,2,Joe Gibbs,0.299,1991,GibbJo0
116,6,Jim Hanifan,0.024,1982,HaniJi0
117,3,John Robinson,0.119,1983,RobiJo0
118,6,John Robinson,0.015,1985,RobiJo0
119,7,Frank Kush,0.048,1983,KushFr0
120,3,Bill Parcells,0.149,1984,ParcBi0
121,1,Bill Parcells,0.524,1986,ParcBi0
122,4,Bill Parcells,0.071,1989,ParcBi0
123,6,Bill Parcells,0.012,1993,ParcBi0
124,1,Bill Parcells,0.296,1994,ParcBi0
125,3,Bill Parcells,0.043,1996,ParcBi0
126,6,Bill Parcells,0.063,1997,ParcBi0
127,3,Bill Parcells,0.191,1998,ParcBi0
128,5,Bill Parcells,0.01,1999,ParcBi0
129,3,Bill Parcells,0.13,2003,ParcBi0
130,1,Mike Ditka,0.786,1985,DitkMi0
131,4,Mike Ditka,0.048,1986,DitkMi0
132,1,Mike Ditka,0.423,1988,DitkMi0
133,5,Mike Ditka,0.1,1990,DitkMi0
134,9,Mike Ditka,0.024,1991,DitkMi0
135,2,Raymond Berry,0.06,1985,BerrRa0
136,5,Raymond Berry,0.036,1986,BerrRa0
137,8,Joe Walton,0.004,1985,WaltJo0
138,2,Marty Schottenheimer,0.226,1986,SchoMa0
139,6,Marty Schottenheimer,0.05,1989,SchoMa0
140,7,Marty Schottenheimer,0.063,1990,SchoMa0
141,3,Marty Schottenheimer,0.239,1995,SchoMa0
142,2,Marty Schottenheimer,0.208,1997,SchoMa0
143,1,Marty Schottenheimer,0.573,2004,SchoMa0
144,3,Marty Schottenheimer,0.04,2006,SchoMa0
145,3,Jerry Burns,0.048,1986,BurnJe0
146,6,Jim Mora,0.024,1986,MoraJi0
147,6,Jim Mora,0.024,1986,MoraJi1
148,1,Jim Mora,0.905,1987,MoraJi0
149,1,Jim Mora,0.905,1987,MoraJi1
150,8,Jim Mora,0.006,1992,MoraJi0
151,8,Jim Mora,0.006,1992,MoraJi1
152,2,Jim Mora,0.37,1999,MoraJi0
153,2,Jim Mora,0.37,1999,MoraJi1
154,4,Jim Mora,0.042,2004,MoraJi0
155,4,Jim Mora,0.042,2004,MoraJi1
156,3,Ron Meyer,0.036,1987,MeyeRo0
157,4,Marv Levy,0.012,1987,LevyMa0
158,2,Marv Levy,0.295,1988,LevyMa0
159,4,Marv Levy,0.113,1990,LevyMa0
160,7,Marv Levy,0.037,1991,LevyMa0
161,5,Marv Levy,0.068,1995,LevyMa0
162,3,Sam Wyche,0.244,1988,WychSa0
163,1,Lindy Infante,0.329,1989,InfaLi0
164,3,George Seifert,0.229,1989,SeifGe0
165,6,George Seifert,0.1,1990,SeifGe0
166,5,George Seifert,0.089,1992,SeifGe0
167,4,George Seifert,0.143,1994,SeifGe0
168,6,George Seifert,0.068,1995,SeifGe0
169,5,Art Shell,0.057,1989,ShelAr0
170,2,Art Shell,0.2,1990,ShelAr0
171,1,Jimmy Johnson,0.231,1990,JohnJi0
172,3,Jimmy Johnson,0.098,1991,JohnJi0
173,7,Jimmy Johnson,0.063,1992,JohnJi0
174,3,Jimmy Johnson,0.025,1993,JohnJi0
175,7,Jimmy Johnson,0.021,1997,JohnJi0
176,1,Wayne Fontes,0.317,1991,FontWa0
177,4,Rich Kotite,0.061,1991,KotiRi0
178,5,Dick MacPherson,0.061,1991,McPhDi0
179,6,Jerry Glanville,0.049,1991,GlanJe0
180,10,Bill Belichick,0.018,1991,BeliBi0
181,5,Bill Belichick,0.041,1994,BeliBi0
182,2,Bill Belichick,0.39,2001,BeliBi0
183,1,Bill Belichick,0.71,2003,BeliBi0
184,3,Bill Belichick,0.063,2004,BeliBi0
185,3,Bill Belichick,0.04,2005,BeliBi0
186,1,Bill Belichick,0.58,2007,BeliBi0
187,4,Bill Belichick,0.02,2008,BeliBi0
188,1,Bill Belichick,0.6,2010,BeliBi0
189,3,Bill Belichick,0.14,2013,BeliBi0
190,5,Bill Belichick,0.02,2014,BeliBi0
191,7,Bill Belichick,0.02,2015,BeliBi0
192,2,Bill Belichick,0.28,2016,BeliBi0
193,4,Bill Belichick,0.02,2017,BeliBi0
194,5,Bill Belichick,0.02,2021,BeliBi0
195,1,Bill Cowher,0.291,1992,CowhBi0
196,2,Bill Cowher,0.255,1994,CowhBi0
197,4,Bill Cowher,0.08,1995,CowhBi0
198,4,Bill Cowher,0.063,1997,CowhBi0
199,3,Bill Cowher,0.08,2001,CowhBi0
200,2,Bill Cowher,0.302,2004,CowhBi0
201,2,Bobby Ross,0.253,1992,RossBo0
202,3,Mike Holmgren,0.12,1992,HolmMi0
203,7,Mike Holmgren,0.034,1995,HolmMi0
204,5,Mike Holmgren,0.02,2005,HolmMi0
205,4,Dennis Green,0.101,1992,GreeDe0
206,2,Dennis Green,0.309,1998,GreeDe0
207,5,Dave Wannstedt,0.025,1993,WannDa0
208,3,Dave Wannstedt,0.224,1994,WannDa0
209,9,Dave Wannstedt,0.02,2000,WannDa0
210,6,Barry Switzer,0.031,1994,SwitBa0
211,1,Ray Rhodes,0.273,1995,RhodRa0
212,2,Dom Capers,0.239,1995,CapeDo0
213,1,Dom Capers,0.72,1996,CapeDo0
214,2,Mike Shanahan,0.237,1996,ShanMi0
215,8,Mike Shanahan,0.02,2000,ShanMi0
216,1,Jim Fassel,0.417,1997,FassJi0
217,3,Jim Fassel,0.04,2000,FassJi0
218,6,Jim Fassel,0.021,2002,FassJi0
219,3,Tony Dungy,0.167,1997,DungTo0
220,2,Tony Dungy,0.41,2005,DungTo0
221,5,Tony Dungy,0.02,2007,DungTo0
222,5,Steve Mariucci,0.063,1997,MariSt0
223,7,Steve Mariucci,0.02,2000,MariSt0
224,4,Steve Mariucci,0.04,2001,MariSt0
225,3,Jeff Fisher,0.05,1999,FishJe0
226,4,Jeff Fisher,0.04,2000,FishJe0
227,2,Jeff Fisher,0.125,2002,FishJe0
228,4,Jeff Fisher,0.02,2006,FishJe0
229,3,Jeff Fisher,0.06,2008,FishJe0
230,4,Tom Coughlin,0.02,1999,CougTo0
231,4,Tom Coughlin,0.02,2005,CougTo0
232,1,Jim Haslett,0.61,2000,HaslJi0
233,2,Andy Reid,0.19,2000,ReidAn0
234,1,Andy Reid,0.729,2002,ReidAn0
235,4,Andy Reid,0.02,2003,ReidAn0
236,5,Andy Reid,0.02,2009,ReidAn0
237,4,Andy Reid,0.02,2010,ReidAn0
238,2,Andy Reid,0.27,2013,ReidAn0
239,2,Andy Reid,0.12,2015,ReidAn0
240,5,Andy Reid,0.02,2016,ReidAn0
241,4,Andy Reid,0.1,2018,ReidAn0
242,7,Andy Reid,0.041,2020,ReidAn0
243,8,Andy Reid,0.022,2022,ReidAn0
244,5,Jon Gruden,0.04,2000,GrudJo0
245,6,Jon Gruden,0.02,2007,GrudJo0
246,6,Brian Billick,0.02,2000,BillBr0
247,4,Brian Billick,0.042,2002,BillBr0
248,1,Dick Jauron,0.48,2001,JaurDi0
249,5,Butch Davis,0.01,2001,DaviBu0
250,3,Herm Edwards,0.063,2002,EdwaHe0
251,5,Bill Callahan,0.021,2002,CallBi0
252,2,Marvin Lewis,0.14,2003,LewiMa0
253,6,Marvin Lewis,0.02,2005,LewiMa0
254,1,Marvin Lewis,0.41,2009,LewiMa0
255,5,John Fox,0.021,2004,FoxxJo0
256,3,John Fox,0.04,2011,FoxxJo0
257,1,Lovie Smith,0.49,2005,SmitLo0
258,5,Lovie Smith,0.02,2010,SmitLo0
259,1,Sean Payton,0.88,2006,PaytSe0
260,2,Sean Payton,0.23,2009,PaytSe0
261,6,Sean Payton,0.02,2018,PaytSe0
262,6,Sean Payton,0.02,2019,PaytSe0
263,6,Sean Payton,0.041,2020,PaytSe0
264,2,Eric Mangini,0.06,2006,MangEr0
265,2,Mike McCarthy,0.3,2007,McCaMi0
266,2,Mike McCarthy,0.06,2011,McCaMi0
267,3,Jack Del Rio,0.04,2007,DelRJa0
268,4,Jack Del Rio,0.08,2016,DelRJa0
269,4,Wade Phillips,0.04,2007,PhilWa0
270,1,Mike Smith,0.47,2008,SmitMi0
271,6,Mike Smith,0.02,2010,SmitMi0
272,2,Tony Sparano,0.45,2008,SparTo0
273,3,Norv Turner,0.18,2009,TurnNo0
274,4,Jim Caldwell,0.14,2009,CaldJi0
275,6,Jim Caldwell,0.02,2014,CaldJi0
276,6,Ken Whisenhunt,0.02,2009,WhisKe0
277,2,Raheem Morris,0.23,2010,MorrRa0
278,3,Todd Haley,0.09,2010,HaleTo0
279,7,Steve Spagnuolo,0.02,2010,SpagSt0
280,1,Jim Harbaugh,0.9,2011,HarbJi0
281,1,Bruce Arians,0.73,2012,AriaBr0
282,5,Bruce Arians,0.04,2013,AriaBr0
283,1,Bruce Arians,0.79,2014,AriaBr0
284,6,Bruce Arians,0.02,2015,AriaBr0
285,2,Chuck Pagano,0.11,2012,PagaCh0
286,3,Pete Carroll,0.1,2012,CarrPe0
287,6,Pete Carroll,0.04,2013,CarrPe0
288,4,Pete Carroll,0.05,2014,CarrPe0
289,5,Pete Carroll,0.04,2018,CarrPe0
290,9,Pete Carroll,0.013,2022,CarrPe0
291,4,Leslie Frazier,0.06,2012,FrazLe0
292,1,Ron Rivera,0.43,2013,RiveRo0
293,1,Ron Rivera,0.73,2015,RiveRo0
294,4,Ron Rivera,0.082,2020,RiveRo0
295,4,Chip Kelly,0.08,2013,KellCh0
296,2,Jason Garrett,0.06,2014,GarrJa0
297,1,Jason Garrett,0.5,2016,GarrJa0
298,3,Bill O'Brien,0.06,2014,OBriBi0
299,3,Bill O'Brien,0.04,2015,OBriBi0
300,4,Mike Zimmer,0.04,2015,ZimmMi0
301,2,Mike Zimmer,0.22,2017,ZimmMi0
302,5,Gary Kubiak,0.03,2015,KubiGa0
303,3,Adam Gase,0.12,2016,GaseAd0
304,1,Sean McVay,0.7,2017,McVaSe0
305,6,Sean McVay,0.047,2023,McVaSe0
306,3,Doug Marrone,0.04,2017,MarrDo0
307,5,Doug Pederson,0.02,2017,PedeDo0
308,3,Doug Pederson,0.167,2022,PedeDo0
309,1,Matt Nagy,0.48,2018,NagyMa0
310,2,Anthony Lynn,0.2,2018,LynnAn0
311,3,Frank Reich,0.16,2018,ReicFr0
312,1,John Harbaugh,0.55,2019,HarbJo0
313,4,John Harbaugh,0.058,2023,HarbJo0
314,2,Kyle Shanahan,0.29,2019,ShanKy0
315,2,Kyle Shanahan,0.222,2022,ShanKy0
316,5,Kyle Shanahan,0.058,2023,ShanKy0
317,3,Matt LaFleur,0.06,2019,LaFlMa0
318,5,Matt LaFleur,0.061,2020,LaFlMa0
319,2,Matt LaFleur,0.16,2021,LaFlMa0
320,9,Matt LaFleur,0.004,2023,LaFlMa0
321,4,Sean McDermott,0.04,2019,McDeSe0
322,2,Sean McDermott,0.143,2020,McDeSe0
323,4,Sean McDermott,0.107,2022,McDeSe0
324,12,Sean McDermott,0.002,2023,McDeSe0
325,5,Mike Tomlin,0.04,2019,TomlMi0
326,10,Mike Tomlin,0.011,2022,TomlMi0
327,7,Mike Tomlin,0.011,2023,TomlMi0
328,1,Kevin Stefanski,0.51,2020,StefKe0
329,1,Kevin Stefanski,0.367,2023,StefKe0
330,3,Brian Flores,0.122,2020,FlorBr0
331,1,Mike Vrabel,0.72,2021,VrabMi0
332,3,Rich Bisaccia,0.06,2021,BisaRi0
333,4,Zac Taylor,0.04,2021,TaylZa0
334,1,Brian Daboll,0.273,2022,DaboBr0
335,5,Nick Sirianni,0.1,2022,SiriNi0
336,6,Kevin O'Connell,0.051,2022,OConKe0
337,7,Dan Campbell,0.033,2022,CampDa1
338,3,Dan Campbell,0.073,2023,CampDa1
339,2,DeMeco Ryans,0.367,2023,RyanDe0
340,8,Shane Steichen,0.009,2023,SteiSh0
341,10,Todd Bowles,0.002,2023,BowlTo0
342,11,Mike McDaniel,0.002,2023,McDaMi0
