Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
KAN,Kansas City Chiefs,0.583,0.769,0.571,0.571,0.357,0.357,0.357,0.143,0.25,0.438,0.5,0.563,0.333,0.375,0.5,0.375,0.625,0.267,0.281,0.531,0.688,0.625,0.625,0.688,0.563,0.813,0.563,0.813,0.438,0.563,0.438,0.375,0.5,0.813,0.438,0.625,0.563,0.25,0.125,0.25,0.625,0.438,0.125,0.688,0.563,0.688,0.75,0.625,0.75,0.75,0.875,0.706,0.824,0.647,0.882
SDG,Los Angeles Chargers,0.455,0.429,0.321,0.179,0.357,0.143,0.429,0.5,0.563,0.75,0.688,0.625,0.667,0.375,0.438,0.5,0.25,0.533,0.375,0.375,0.375,0.25,0.688,0.5,0.688,0.563,0.5,0.25,0.313,0.5,0.063,0.313,0.5,0.25,0.75,0.563,0.875,0.688,0.5,0.813,0.563,0.5,0.438,0.563,0.563,0.25,0.313,0.563,0.75,0.313,0.438,0.529,0.588,0.294,0.647
DEN,Denver Broncos,0.385,0.308,0.357,0.571,0.536,0.429,0.643,0.857,0.625,0.625,0.5,0.625,0.222,0.563,0.813,0.688,0.688,0.7,0.5,0.688,0.313,0.75,0.5,0.563,0.438,0.5,0.813,0.75,0.875,0.375,0.688,0.5,0.563,0.625,0.625,0.813,0.563,0.438,0.5,0.5,0.25,0.5,0.813,0.813,0.75,0.75,0.563,0.313,0.375,0.438,0.313,0.412,0.294,0.471,0.588
DAL,Dallas Cowboys,0.714,0.786,0.714,0.714,0.571,0.714,0.786,0.857,0.75,0.688,0.75,0.75,0.667,0.75,0.563,0.625,0.438,0.467,0.188,0.063,0.438,0.688,0.813,0.75,0.75,0.75,0.625,0.375,0.625,0.5,0.313,0.313,0.313,0.625,0.375,0.563,0.563,0.813,0.563,0.688,0.375,0.5,0.5,0.5,0.75,0.25,0.813,0.563,0.625,0.5,0.375,0.706,0.706,0.706,0.412
NYG,New York Giants,0.643,0.286,0.571,0.179,0.143,0.357,0.214,0.357,0.375,0.375,0.25,0.563,0.444,0.219,0.563,0.625,0.875,0.4,0.625,0.75,0.813,0.5,0.375,0.688,0.563,0.313,0.375,0.656,0.5,0.438,0.75,0.438,0.625,0.25,0.375,0.688,0.5,0.625,0.75,0.5,0.625,0.563,0.563,0.438,0.375,0.375,0.688,0.188,0.313,0.25,0.375,0.235,0.559,0.353,0.176
CRD,Arizona Cardinals,0.615,0.308,0.321,0.321,0.714,0.786,0.714,0.5,0.375,0.313,0.313,0.438,0.556,0.531,0.563,0.313,0.281,0.467,0.438,0.313,0.313,0.25,0.25,0.438,0.5,0.25,0.438,0.25,0.563,0.375,0.188,0.438,0.313,0.25,0.375,0.313,0.313,0.5,0.563,0.625,0.313,0.5,0.313,0.625,0.688,0.813,0.469,0.5,0.188,0.344,0.5,0.647,0.235,0.235,0.471
WAS,Washington Commanders,0.429,0.692,0.786,0.714,0.714,0.571,0.714,0.643,0.5,0.625,0.375,0.5,0.889,0.875,0.688,0.625,0.75,0.733,0.438,0.625,0.625,0.875,0.563,0.25,0.188,0.375,0.563,0.531,0.375,0.625,0.5,0.5,0.438,0.313,0.375,0.625,0.313,0.563,0.5,0.25,0.375,0.313,0.625,0.188,0.25,0.563,0.531,0.438,0.438,0.188,0.0,0.0,0.5,0.235,0.706
PHI,Philadelphia Eagles,0.231,0.462,0.179,0.393,0.5,0.286,0.286,0.357,0.563,0.688,0.75,0.625,0.333,0.313,0.406,0.438,0.344,0.467,0.625,0.688,0.625,0.625,0.688,0.5,0.438,0.625,0.625,0.406,0.188,0.313,0.688,0.688,0.75,0.75,0.813,0.375,0.625,0.5,0.594,0.688,0.625,0.5,0.25,0.625,0.625,0.438,0.438,0.813,0.563,0.563,0.281,0.529,0.824,0.647,0.824
MIN,Minnesota Vikings,0.857,0.786,0.5,0.857,0.714,0.857,0.821,0.643,0.531,0.438,0.563,0.438,0.556,0.5,0.188,0.438,0.563,0.533,0.688,0.625,0.375,0.5,0.688,0.563,0.625,0.5,0.563,0.563,0.938,0.625,0.688,0.313,0.375,0.563,0.5,0.563,0.375,0.5,0.625,0.75,0.375,0.188,0.625,0.344,0.438,0.688,0.5,0.813,0.531,0.625,0.438,0.471,0.765,0.412,0.824
DET,Detroit Lions,0.714,0.538,0.607,0.464,0.5,0.5,0.429,0.429,0.438,0.125,0.563,0.5,0.444,0.563,0.281,0.438,0.313,0.267,0.25,0.438,0.375,0.75,0.313,0.625,0.563,0.625,0.313,0.563,0.313,0.5,0.563,0.125,0.188,0.313,0.375,0.313,0.188,0.438,0.0,0.125,0.375,0.625,0.25,0.438,0.688,0.438,0.563,0.563,0.375,0.219,0.313,0.206,0.529,0.706,0.882
GNB,Green Bay Packers,0.429,0.333,0.714,0.429,0.429,0.286,0.357,0.286,0.531,0.313,0.344,0.5,0.611,0.5,0.5,0.5,0.25,0.367,0.25,0.625,0.375,0.25,0.563,0.563,0.563,0.688,0.813,0.813,0.688,0.5,0.563,0.75,0.75,0.625,0.625,0.25,0.5,0.813,0.375,0.688,0.625,0.938,0.688,0.531,0.75,0.625,0.625,0.438,0.406,0.813,0.813,0.765,0.471,0.529,0.647
CHI,Chicago Bears,0.429,0.429,0.321,0.214,0.286,0.286,0.5,0.643,0.438,0.625,0.438,0.375,0.333,0.5,0.625,0.938,0.875,0.733,0.75,0.375,0.688,0.688,0.313,0.438,0.563,0.563,0.438,0.25,0.25,0.375,0.313,0.813,0.25,0.438,0.313,0.688,0.813,0.438,0.563,0.438,0.688,0.5,0.625,0.5,0.313,0.375,0.188,0.313,0.75,0.5,0.5,0.353,0.176,0.412,0.294
SFO,San Francisco 49ers,0.769,0.643,0.607,0.357,0.429,0.357,0.571,0.357,0.125,0.125,0.375,0.813,0.333,0.625,0.938,0.625,0.656,0.867,0.625,0.875,0.875,0.625,0.875,0.625,0.813,0.688,0.75,0.813,0.75,0.25,0.375,0.75,0.625,0.438,0.125,0.25,0.438,0.313,0.438,0.5,0.375,0.813,0.719,0.75,0.5,0.313,0.125,0.375,0.25,0.813,0.375,0.588,0.765,0.706,0.353
RAM,Los Angeles Rams,0.692,0.615,0.464,0.857,0.714,0.857,0.75,0.714,0.75,0.563,0.688,0.375,0.222,0.563,0.625,0.688,0.625,0.4,0.625,0.688,0.313,0.188,0.375,0.313,0.25,0.438,0.375,0.313,0.25,0.813,0.625,0.875,0.438,0.75,0.5,0.375,0.5,0.188,0.125,0.063,0.438,0.125,0.469,0.438,0.375,0.438,0.25,0.688,0.813,0.563,0.625,0.706,0.294,0.588,0.588
ATL,Atlanta Falcons,0.333,0.538,0.5,0.643,0.214,0.286,0.286,0.5,0.563,0.375,0.75,0.438,0.556,0.438,0.25,0.25,0.469,0.2,0.313,0.188,0.313,0.625,0.375,0.375,0.438,0.563,0.188,0.438,0.875,0.313,0.25,0.438,0.594,0.313,0.688,0.5,0.438,0.25,0.688,0.563,0.813,0.625,0.813,0.25,0.375,0.5,0.688,0.625,0.438,0.438,0.25,0.412,0.412,0.412,0.471
NOR,New Orleans Saints,0.154,0.333,0.179,0.357,0.357,0.143,0.286,0.214,0.438,0.5,0.063,0.25,0.444,0.5,0.438,0.313,0.438,0.8,0.625,0.563,0.5,0.688,0.75,0.5,0.438,0.438,0.188,0.375,0.375,0.188,0.625,0.438,0.563,0.5,0.5,0.188,0.625,0.438,0.5,0.813,0.688,0.813,0.438,0.688,0.438,0.438,0.438,0.688,0.813,0.813,0.75,0.529,0.412,0.529,0.294
TAM,Tampa Bay Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.313,0.625,0.344,0.563,0.556,0.125,0.375,0.125,0.125,0.267,0.313,0.313,0.375,0.188,0.313,0.313,0.375,0.438,0.375,0.625,0.5,0.688,0.625,0.563,0.75,0.438,0.313,0.688,0.25,0.563,0.563,0.188,0.625,0.25,0.438,0.25,0.125,0.375,0.563,0.313,0.313,0.438,0.688,0.765,0.471,0.529,0.588
SEA,Seattle Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.357,0.563,0.563,0.25,0.375,0.444,0.563,0.75,0.5,0.625,0.6,0.563,0.438,0.563,0.438,0.125,0.375,0.375,0.5,0.438,0.5,0.5,0.563,0.375,0.563,0.438,0.625,0.563,0.813,0.563,0.625,0.25,0.313,0.438,0.438,0.688,0.813,0.75,0.625,0.656,0.563,0.625,0.688,0.75,0.412,0.529,0.529,0.588
JAX,Jacksonville Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.563,0.688,0.688,0.875,0.438,0.375,0.375,0.313,0.563,0.75,0.5,0.688,0.313,0.438,0.5,0.313,0.125,0.25,0.188,0.313,0.188,0.625,0.313,0.375,0.063,0.176,0.529,0.529,0.235
CAR,Carolina Panthers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.75,0.438,0.25,0.5,0.438,0.063,0.438,0.688,0.438,0.688,0.5,0.438,0.75,0.5,0.125,0.375,0.438,0.75,0.469,0.938,0.375,0.688,0.438,0.313,0.313,0.294,0.412,0.118,0.294
RAV,Baltimore Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.406,0.375,0.5,0.75,0.625,0.438,0.625,0.563,0.375,0.813,0.313,0.688,0.563,0.75,0.75,0.625,0.5,0.625,0.313,0.5,0.563,0.625,0.875,0.688,0.471,0.588,0.765,0.706
HTX,Houston Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.313,0.438,0.125,0.375,0.5,0.5,0.563,0.375,0.625,0.75,0.125,0.563,0.563,0.563,0.25,0.688,0.625,0.25,0.235,0.206,0.588,0.588
