Abbrev,Team,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MIN,Minnesota Vikings,Bill Boyer,Bill Boyer,Bill Boyer,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,Max Winter,null,Max Winter,null,null,null,null,null,null,Roger Headrick,Roger Headrick,Roger Headrick,Roger Headrick,Roger Headrick,Roger Headrick,Red McCombs,Red McCombs,Red McCombs,Red McCombs,Red McCombs,Red McCombs,Red McCombs,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf,Zygi Wilf
GNB,Green Bay Packers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Robert Parins,Robert Parins,Robert Parins,Robert Parins,null,null,null,null,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,null,null,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Bob Harlan,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy,Mark Murphy
CHI,Chicago Bears,null,null,null,null,null,George Halas,George Halas,George Halas,null,null,null,null,George Halas,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey,Virginia Halas McCaskey
TAM,Tampa Bay Buccaneers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hugh Culverhouse,Hugh Culverhouse,,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Malcolm Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer,Bryan Glazer
ATL,Atlanta Falcons,Rankin Smith,Rankin Smith,Rankin Smith,Rankin Smith,Rankin Smith,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Taylor Smith,Taylor Smith,Taylor Smith,Taylor Smith,null,null,null,Taylor Smith,Taylor Smith,Taylor Smith,Taylor Smith,Taylor Smith,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank,Arthur Blank
CAR,Carolina Panthers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,Jerry Richardson,David Tepper,David Tepper,David Tepper,David Tepper,David Tepper,David Tepper,David Tepper
NOR,New Orleans Saints,null,null,null,null,null,null,,,,,,,,,,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,null,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Tom Benson,Gayle Benson,Gayle Benson,Gayle Benson,Gayle Benson,Gayle Benson,Gayle Benson,Gayle Benson
RAM,Los Angeles Rams,Dan Reeves,null,null,Carroll Rosenbloom,Carroll Rosenbloom,Carroll Rosenbloom,Carroll Rosenbloom,Carroll Rosenbloom,null,null,null,null,null,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,null,null,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,null,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Georgia Frontiere,Lucia Rodriquez,Lucia Rodriquez,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke,Stan Kroenke
SEA,Seattle Seahawks,null,null,null,null,null,null,null,null,null,null,null,null,null,Lloyd Nordstrom,Lloyd Nordstrom,Lloyd Nordstrom,Lloyd Nordstrom,Lloyd Nordstrom,Ken Behring,Ken Behring,Ken Behring,Ken Behring,Ken Behring,Ken Behring,Ken Behring,null,null,null,null,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Paul Allen,Jody Allen,Jody Allen,Jody Allen,Jody Allen,Jody Allen,Jody Allen
CRD,Arizona Cardinals,null,null,null,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwell,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Bill Bidwill,Michael Bidwill,Michael Bidwill,Michael Bidwill,Michael Bidwill,Michael Bidwill
SFO,San Francisco 49ers,Jane Morabito,Jane Morabito,Jane Morabito,Jane Morabito,Jane Morabito,Jane Morabito,null,null,null,"Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.","Edward DeBartolo, Jr.",Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Denise DeBartolo York,Jed York
